Symbol,Name,Year,EPS,BPS
A024110,기업은행,2003,566,7543
A024110,기업은행,2004,914,8585
A024110,기업은행,2005,1921,10382
A024110,기업은행,2006,2599,12870
A024110,기업은행,2007,2882,14587
A024110,기업은행,2008,1880,13916
A024110,기업은행,2009,1238,14364
A024110,기업은행,2010,2353,18400
A024110,기업은행,2011,2453,20388
A024110,기업은행,2012,1998,21531
A024110,기업은행,2013,1429,22603
A024110,기업은행,2014,1719,23898
A024110,기업은행,2015,1902,26289
A024110,기업은행,2016,1917,27282
A024110,기업은행,2017,,
A009150,삼성전기,2001,1428,22986
A009150,삼성전기,2002,2695,24989
A009150,삼성전기,2003,-2824,21869
A009150,삼성전기,2004,1230,21365
A009150,삼성전기,2005,-867,21776
A009150,삼성전기,2006,1262,23390
A009150,삼성전기,2007,1454,25820
A009150,삼성전기,2008,620,25642
A009150,삼성전기,2009,2690,33106
A009150,삼성전기,2010,7148,44941
A009150,삼성전기,2011,4503,45295
A009150,삼성전기,2012,5680,50214
A009150,삼성전기,2013,4256,53812
A009150,삼성전기,2014,6478,58690
A009150,삼성전기,2015,144,56299
A009150,삼성전기,2016,190,56531
A009150,삼성전기,2017,,
A021240,코웨이,2001,710,3248
A021240,코웨이,2002,1033,4152
A021240,코웨이,2003,455,4182
A021240,코웨이,2004,602,4619
A021240,코웨이,2005,1102,4752
A021240,코웨이,2006,1010,5900
A021240,코웨이,2007,1562,7100
A021240,코웨이,2008,1734,8016
A021240,코웨이,2009,2023,9298
A021240,코웨이,2010,2376,9870
A021240,코웨이,2011,2166,10962
A021240,코웨이,2012,1219,11354
A021240,코웨이,2013,3178,13535
A021240,코웨이,2014,3238,15146
A021240,코웨이,2015,4449,17654
A021240,코웨이,2016,3167,17891
A021240,코웨이,2017,,
A035250,강원랜드,2001,10914,23063
A035250,강원랜드,2002,11051,34114
A035250,강원랜드,2003,1148,4338
A035250,강원랜드,2004,1268,5026
A035250,강원랜드,2005,1398,5976
A035250,강원랜드,2006,1159,6610
A035250,강원랜드,2007,1369,7501
A035250,강원랜드,2008,1446,8135
A035250,강원랜드,2009,1823,9420
A035250,강원랜드,2010,2031,10533
A035250,강원랜드,2011,1782,11331
A035250,강원랜드,2012,1431,11901
A035250,강원랜드,2013,1391,12580
A035250,강원랜드,2014,1680,13458
A035250,강원랜드,2015,2064,14824
A035250,강원랜드,2016,2125,16017
A035250,강원랜드,2017,,
A030200,KT,2001,3482,38068
