,Trend
2015-02-03,54
2015-02-04,54
2015-02-05,56
2015-02-06,56
2015-02-07,61
2015-02-08,63
2015-02-09,60
2015-02-10,63
2015-02-11,60
2015-02-12,55
2015-02-13,54
2015-02-14,52
2015-02-15,52
2015-02-16,53
2015-02-17,53
2015-02-18,59
2015-02-19,58
2015-02-20,82
2015-02-21,55
2015-02-22,54
2015-02-23,52
2015-02-24,48
2015-02-25,49
2015-02-26,49
2015-02-27,49
2015-02-28,49
2015-03-01,49
2015-03-02,52
2015-03-03,57
2015-03-04,56
2015-03-05,52
2015-03-06,62
2015-03-07,67
2015-03-08,58
2015-03-09,57
2015-03-10,62
2015-03-11,60
2015-03-12,56
2015-03-13,59
2015-03-14,51
2015-03-15,52
2015-03-16,51
2015-03-17,52
2015-03-18,55
2015-03-19,57
2015-03-20,52
2015-03-21,51
2015-03-22,49
2015-03-23,55
2015-03-24,52
2015-03-25,55
2015-03-26,50
2015-03-27,48
2015-03-28,42
2015-03-29,46
2015-03-30,54
2015-03-31,53
2015-04-01,56
2015-04-02,54
2015-04-03,55
2015-04-04,51
2015-04-05,50
2015-04-06,54
2015-04-07,55
2015-04-08,55
2015-04-09,55
2015-04-10,53
2015-04-11,49
2015-04-12,50
2015-04-13,54
2015-04-14,59
2015-04-15,51
2015-04-16,52
2015-04-17,48
2015-04-18,46
2015-04-19,48
2015-04-20,52
2015-04-21,54
2015-04-22,53
2015-04-23,54
2015-04-24,50
2015-04-25,47
2015-04-26,50
2015-04-27,51
2015-04-28,51
2015-04-29,53
2015-04-30,54
2015-05-01,49
2015-05-02,46
2015-05-03,45
2015-05-04,48
2015-05-05,49
2015-05-06,49
2015-05-07,49
2015-05-08,49
2015-05-09,43
2015-05-10,46
2015-05-11,51
2015-05-12,50
2015-05-13,51
2015-05-14,61
2015-05-15,50
2015-05-16,49
2015-05-17,51
2015-05-18,51
2015-05-19,58
2015-05-20,57
2015-05-21,55
2015-05-22,51
2015-05-23,49
2015-05-24,52
2015-05-25,48
2015-05-26,54
2015-05-27,51
2015-05-28,48
2015-05-29,53
2015-05-30,63
2015-05-31,55
2015-06-01,54
2015-06-02,53
2015-06-03,50
2015-06-04,52
2015-06-05,50
2015-06-06,49
2015-06-07,48
2015-06-08,46
2015-06-09,48
2015-06-10,52
2015-06-11,49
2015-06-12,46
2015-06-13,44
2015-06-14,48
2015-06-15,48
2015-06-16,52
2015-06-17,54
2015-06-18,100
2015-06-19,59
2015-06-20,57
2015-06-21,53
2015-06-22,50
2015-06-23,50
2015-06-24,46
2015-06-25,56
2015-06-26,45
2015-06-27,53
2015-06-28,51
2015-06-29,62
2015-06-30,75
2015-07-01,76
2015-07-02,69
2015-07-03,70
2015-07-04,70
2015-07-05,78
2015-07-06,83
2015-07-07,79
2015-07-08,78
2015-07-09,75
2015-07-10,79
2015-07-11,76
